EventId,Title,CourseId,EventStatus,FreeEvent,EventFee,LocationType,Region,Hours,EndDate
1251,""" She Hit Me""",502144,Completed, , ,Classroom,Region 6,2,4/7/2001
1185,""" The Attitude Virus""",502145,Completed, , ,Classroom,Region 6,2,9/16/2000
1244,"""A-ok"" Assessmant, Observation of Kids",502146,Completed, , ,Classroom,Region 6,3,8/4/2001
2365,"""A-OK"" Assessment,Observation of Kids",502147,Cancelled, , ,Classroom,Region 6,3,7/13/2002
3722,"""A-OK"" Assessment,Observation of Kids",502147,Completed, , ,Classroom,Region 6,3,1/25/2003
14784,"""Behavior Management and Sensory Integration""",502148,Completed, , ,Classroom,Region 7,6,3/28/2009
8465,"""Bringing Reggio Emilia Home"" Book Discussion",502149,Completed, , ,Classroom,Region 2,4,5/4/2006
1246,"""Calling All Kids""",502150,Cancelled, , ,Classroom,Region 6,6,7/28/2001
12126,"""Can You Hear Me Now?"" How to Effectively Communicate",502151,Completed, , ,Classroom,Region 4,2,8/27/2007
13123,"""Child of Mine"" Helping Children Eat & Grow Well",502152,Completed, , ,Classroom,Region 4,6,6/10/2008
13124,"""Child of Mine"" Solving Childhood Feeding Problems",502153,Completed, , ,Classroom,Region 4,2,6/9/2008
14148,"""Dining Out"" -Nutrition & Meal Times in Group Care",502154,Completed, , ,Classroom,Region 5,2,12/1/2008
2551,"""Focused Portfolio"" An efficient Assessment to Use with Inf",502155,Completed, , ,Classroom,Statewide,2,10/20/2001
12960,"""Ghosts from the Nursery-Tracing the Roots of Violence""",502156,Completed, , ,Classroom,Region 2,12,1/17/2008
14755,"""Give Me a Break!"" Tax Strategies",502157,Completed, , ,Classroom,Region 5,2,1/22/2009
756,"""I"" The Provider",502158,Cancelled, , ,Classroom,Region 5,2,2/28/2000
11206,"""I'm too Tired to Eat"" Health Barriers to Toddler & Preschoo",502159,Completed, , ,Classroom,Region 5,2,10/21/2006
805,"""It's Never A Problem"" - Building Positive Relationships",502160,Cancelled, , ,Classroom,Region 7,2,4/8/2000
6465,"""Jump On In"" The Substitute Pool",502161,Completed, , ,Classroom,Region 4,2,4/5/2004
6296,"""Kinder""Gardens",502162,Completed, , ,Classroom,Region 4,2,2/29/2004
10503,"""L"" is for Literacy - Appropriate Practices in Reading & Wri",502163,Completed, , ,Classroom,Region 5,3,3/8/2007
